,company,href
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/six-important-triggers-that-changed-your-market-while-you-were-sleeping/articleshow/54667458.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty50-forms-long-white-day-on-charts-8800-level-a-big-hurdle/articleshow/54657574.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/mapping-the-market-auto-realty-outshine-midcaps-smallcaps-make-the-most-of-big-rally/articleshow/54657297.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rate-cut-decision-guide-learning-to-read-the-monetary-panel/articleshow/54670420.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/new-panel-is-looking-at-rbi-rate-right-now-how-will-it-impact-emis-market/articleshow/54670347.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/new-panel-is-looking-at-rbi-rate-right-now-how-will-it-impact-emis-market/articleshow/54670347.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-nifty50-base-shifting-higher-to-strike-price-8600/articleshow/54669816.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/markets-absorb-rate-cuts-better-than-banks-rbi-report/articleshow/54693203.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/markets-absorb-rate-cuts-better-than-banks-rbi-report/articleshow/54693203.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/markets-absorb-rate-cuts-better-than-banks-rbi-report/articleshow/54693203.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/regardless-of-who-wins-in-us-federal-reserve-may-face-makeover/articleshow/54708251.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/buy-or-sell-ideas-by-experts-for-morning-trade-on-thursday-06-october-2016/articleshow/54708203.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/need2know-six-macro-triggers-that-may-stir-the-market-today/articleshow/54708118.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-fresh-put-writing-at-8700-8800-levels-to-support-nifty50/articleshow/54690722.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rbi-has-delivered-on-rate-cut-how-can-you-make-money-in-stocks-now/articleshow/54690363.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/technicalsetmarkets-to-measure-trend-momentum-in-one-shot-use-elder-impulse-system/articleshow/54690152.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/what-has-changed-in-rbis-policy-making/articleshow/54689857.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/what-has-changed-in-rbis-policy-making/articleshow/54689857.cms
0,SBI,http://economictimes.indiatimes.com/markets/stocks/news/market-cues-buzzing-at-breakfast-tables-this-morning/articleshow/54688026.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/market-cues-buzzing-at-breakfast-tables-this-morning/articleshow/54688026.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/market-cues-buzzing-at-breakfast-tables-this-morning/articleshow/54688026.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/at-4-5-rbi-predicts-inflation-higher-than-fy18-target/articleshow/54689176.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/at-4-5-rbi-predicts-inflation-higher-than-fy18-target/articleshow/54689176.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/retail-investors-confidence-in-stocks-grows-equity-mfs-aum-tops-rs-5-lakh-crore/articleshow/54711496.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rebound-in-grms-to-boost-indian-refiners-earnings/articleshow/54711129.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/sharda-crop-up-16-on-meet-with-investor-motilals-buy/articleshow/54711211.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/lenders-holding-in-abg-shipyard-rises-to-49-as-icici-converts-debt/articleshow/54710932.cms
0,IDEA,http://economictimes.indiatimes.com/markets/stocks/news/view-aggressive-rate-cuts-may-not-be-a-good-idea/articleshow/54709946.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/5-cues-from-fo-mart-fresh-call-writing-at-8800-9000-to-cap-nifty/articleshow/54709774.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/technology-is-slimming-bank-branches/articleshow/54708109.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/technology-is-slimming-bank-branches/articleshow/54708109.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rate-cut-by-rbi-has-no-economic-justification-says-nomura-heres-why/articleshow/54708070.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/rate-cut-by-rbi-has-no-economic-justification-says-nomura-heres-why/articleshow/54708070.cms
0,OTHERS,http://economictimes.indiatimes.com/markets/stocks/news/small-lenders-can-use-digital-signatures-to-open-accounts/articleshow/54728154.cms
